Time,Significant_height_of_combined_wind_waves_and_swell_surface,Direction_of_swell_waves_ordered_sequence_of_data,Direction_of_wind_waves_surface,Primary_wave_direction_surface,Secondary_wave_direction_surface,Wind_direction_from_which_blowing_surface,Wind_speed_surface
2015-01-20 00:00:00 CST,1.326000452041626,(278.5924987792969),(309.697998046875),(298.4419860839844),(missing),(243.29000854492188),3.9619977474212646
2015-01-20 06:00:00 CST,1.3140002489089966,(303.43798828125),(305.8600158691406),(290.2799987792969),(missing),(232.41201782226562),3.957996368408203
2015-01-20 12:00:00 CST,1.252000093460083,(37.386199951171875),(294.6659851074219),(290.91998291015625),(missing),(220.5360107421875),4.208000183105469
2015-01-20 18:00:00 CST,1.2799999713897705,(303.63800048828125),(281.2639465332031),(298.1399841308594),(missing),(225.5640106201172),3.9779999256134033
2015-01-21 00:00:00 CST,1.3420002460479736,(303.86199951171875),(282.2199401855469),(275.8179931640625),(missing),(229.24398803710938),4.122000694274902
2015-01-21 06:00:00 CST,1.3920001983642578,(243.64634704589844),(281.1059265136719),(287.1619873046875),(missing),(230.60400390625),5.59600305557251
2015-01-21 12:00:00 CST,1.384000301361084,(322.0619812011719),(268.3039245605469),(293.88800048828125),(missing),(233.17800903320312),5.926003456115723
2015-01-21 18:00:00 CST,1.3799999952316284,(303.7279968261719),(258.783935546875),(271.46197509765625),(missing),(239.58590698242188),4.687991142272949
2015-01-22 00:00:00 CST,1.3920001983642578,(303.593994140625),(254.68191528320312),(297.88800048828125),(missing),(238.01600646972656),3.3100037574768066
2015-01-22 06:00:00 CST,1.3999998569488525,(304.1300048828125),(249.87989807128906),(285.79400634765625),(missing),(256.78802490234375),3.4200048446655273
2015-01-22 12:00:00 CST,1.4199999570846558,(303.86798095703125),(252.40789794921875),(296.8479919433594),(missing),(256.2760314941406),3.4599993228912354
2015-01-22 18:00:00 CST,1.412000060081482,(304.0060119628906),(253.08189392089844),(290.2900085449219),(missing),(261.3219299316406),1.7380114793777466
2015-01-23 00:00:00 CST,1.3899999856948853,(303.6839904785156),(256.0419006347656),(296.71600341796875),(missing),(239.11807250976562),2.4480042457580566
2015-01-23 06:00:00 CST,1.3799999952316284,(276.52239990234375),(262.0619201660156),(272.65399169921875),(missing),(252.67002868652344),3.496004581451416
2015-01-23 12:00:00 CST,1.3679999113082886,(187.21395874023438),(269.06793212890625),(294.7120056152344),(missing),(273.052001953125),3.9500019550323486
2015-01-23 18:00:00 CST,1.3679999113082886,(191.6920166015625),(275.12994384765625),(296.86199951171875),(missing),(309.3660888671875),4.189996719360352
2015-01-24 00:00:00 CST,1.337999939918518,(170.34207153320312),(276.7159729003906),(298.51202392578125),(missing),(278.20196533203125),2.4959959983825684
2015-01-24 06:00:00 CST,1.335999846458435,(184.15794372558594),(278.3779602050781),(299.99200439453125),(missing),(299.2880554199219),4.2220048904418945
2015-01-24 12:00:00 CST,1.335999846458435,(193.58584594726562),(280.02197265625),(300.92999267578125),(missing),(322.96405029296875),4.139993190765381
2015-01-24 18:00:00 CST,1.3259997367858887,(189.32791137695312),(280.10797119140625),(298.4880065917969),(missing),(327.2199401855469),3.874004364013672
2015-01-25 00:00:00 CST,1.3179998397827148,(189.5099639892578),(273.52996826171875),(299.68798828125),(missing),(265.8575134277344),0.9579925537109375
2015-01-25 06:00:00 CST,1.307999849319458,(184.37802124023438),(263.4359436035156),(299.8280029296875),(missing),(343.0095520019531),0.70599365234375
