Time,Significant_height_of_combined_wind_waves_and_swell_surface,Direction_of_swell_waves_ordered_sequence_of_data,Direction_of_wind_waves_surface,Primary_wave_direction_surface,Secondary_wave_direction_surface,Wind_direction_from_which_blowing_surface,Wind_speed_surface
2015-01-20 00:00:00 CST,0.671999990940094,(197.96763610839844),(201.8167724609375),(213.37115478515625),(missing),(243.5431365966797),2.622396945953369
2015-01-20 06:00:00 CST,0.6479999423027039,(197.68284606933594),(203.3675994873047),(211.24476623535156),(missing),(233.431640625),1.52799654006958
2015-01-20 12:00:00 CST,0.6359999179840088,(194.92323303222656),(204.21678161621094),(212.19595336914062),(missing),(215.10122680664062),3.1247971057891846
2015-01-20 18:00:00 CST,0.6467998623847961,(196.19964599609375),(207.10958862304688),(234.2360076904297),(missing),(227.9387969970703),3.0087950229644775
2015-01-21 00:00:00 CST,0.6419998407363892,(211.04949951171875),(209.00198364257812),(232.77163696289062),(missing),(316.77978515625),1.2423993349075317
2015-01-21 06:00:00 CST,0.6239998936653137,(196.6295928955078),(209.6683807373047),(233.03961181640625),(missing),(316.6531677246094),1.9567965269088745
2015-01-21 12:00:00 CST,0.6319999098777771,(216.02017211914062),(210.9535675048828),(230.3732147216797),(missing),(240.53277587890625),3.2323973178863525
2015-01-21 18:00:00 CST,0.6419998407363892,(225.92320251464844),(212.41757202148438),(227.5824432373047),(missing),(242.94522094726562),2.6527962684631348
2015-01-22 00:00:00 CST,0.6499998569488525,(225.63722229003906),(213.4791717529297),(231.30599975585938),(missing),(317.7469482421875),0.9027976989746094
2015-01-22 06:00:00 CST,0.6559998989105225,(232.02430725097656),(211.86358642578125),(228.3100128173828),(missing),(183.2232666015625),1.5439954996109009
2015-01-22 12:00:00 CST,0.6839999556541443,(218.13681030273438),(208.08277893066406),(223.49761962890625),(missing),(244.28073120117188),2.3879988193511963
2015-01-22 18:00:00 CST,0.7379999160766602,(220.76031494140625),(205.2743682861328),(229.62240600585938),(missing),(234.6356201171875),2.0927953720092773
2015-01-23 00:00:00 CST,0.7679999470710754,(221.51919555664062),(203.35238647460938),(225.6864471435547),(missing),(196.81529235839844),0.7599998712539673
2015-01-23 06:00:00 CST,0.777199923992157,(228.4007110595703),(203.6267852783203),(230.81442260742188),(missing),(175.66500854492188),0.8191980719566345
2015-01-23 12:00:00 CST,0.7671999335289001,(223.6055145263672),(205.07278442382812),(224.87522888183594),(missing),(231.13272094726562),3.069200277328491
2015-01-23 18:00:00 CST,0.7611998319625854,(225.9715576171875),(207.83558654785156),(226.167236328125),(missing),(252.03282165527344),1.8795974254608154
2015-01-24 00:00:00 CST,0.7399998307228088,(223.0523223876953),(209.8787841796875),(228.850830078125),(missing),(176.21585083007812),0.6316047310829163
2015-01-24 06:00:00 CST,0.7099998593330383,(226.3463592529297),(211.74636840820312),(233.12240600585938),(missing),(173.51820373535156),1.8215951919555664
2015-01-24 12:00:00 CST,0.68399977684021,(212.22647094726562),(214.1827850341797),(226.8052215576172),(missing),(256.4331359863281),3.246799945831299
2015-01-24 18:00:00 CST,0.6683996915817261,(202.87559509277344),(216.61399841308594),(227.02041625976562),(missing),(216.00596618652344),2.313997268676758
2015-01-25 00:00:00 CST,0.6387998461723328,(199.9694366455078),(216.85719299316406),(227.9340057373047),(missing),(198.55792236328125),1.5048003196716309
2015-01-25 06:00:00 CST,0.6119997501373291,(199.42227172851562),(216.25437927246094),(230.62600708007812),(missing),(206.219482421875),1.357607126235962
