Time,Significant_height_of_combined_wind_waves_and_swell_surface,Direction_of_swell_waves_ordered_sequence_of_data,Direction_of_wind_waves_surface,Primary_wave_direction_surface,Secondary_wave_direction_surface,Wind_direction_from_which_blowing_surface,Wind_speed_surface
2015-01-20 00:00:00 CST,0.9120028614997864,(222.5164031982422),(221.22647094726562),(263.8024597167969),(178.8387908935547),(35.88807678222656),6.610034942626953
2015-01-20 06:00:00 CST,0.8888023495674133,(222.36639404296875),(222.1891632080078),(258.46014404296875),(missing),(63.14670181274414),5.221619606018066
2015-01-20 12:00:00 CST,0.8488016128540039,(198.49659729003906),(218.12574768066406),(255.9108123779297),(missing),(115.26101684570312),3.787604331970215
2015-01-20 18:00:00 CST,0.8644008040428162,(221.48678588867188),(218.46365356445312),(243.64321899414062),(missing),(198.61102294921875),4.548000812530518
2015-01-21 00:00:00 CST,0.8356008529663086,(272.741455078125),(222.27008056640625),(242.41766357421875),(missing),(166.2353973388672),0.9916051626205444
2015-01-21 06:00:00 CST,0.825600802898407,(266.5686950683594),(223.2420654296875),(240.91200256347656),(missing),(34.697322845458984),3.2968027591705322
2015-01-21 12:00:00 CST,0.8196007609367371,(232.2412872314453),(223.38442993164062),(236.0148162841797),(missing),(171.06283569335938),2.17598819732666
2015-01-21 18:00:00 CST,0.8428006768226624,(217.67401123046875),(223.3584442138672),(233.87802124023438),(missing),(230.56837463378906),3.816802978515625
2015-01-22 00:00:00 CST,0.8536006808280945,(211.5485382080078),(225.61444091796875),(236.043212890625),(missing),(279.0445861816406),1.9743993282318115
2015-01-22 06:00:00 CST,0.8564009070396423,(254.9777069091797),(226.7152557373047),(232.5736083984375),(missing),(27.736440658569336),3.2476069927215576
2015-01-22 12:00:00 CST,0.8844009637832642,(216.54400634765625),(226.11807250976562),(258.1096496582031),(missing),(139.69285583496094),1.2924020290374756
2015-01-22 18:00:00 CST,0.9332007169723511,(269.3086853027344),(221.58523559570312),(236.2728271484375),(missing),(218.64317321777344),4.200798988342285
2015-01-23 00:00:00 CST,0.967200756072998,(270.27227783203125),(218.84642028808594),(239.52723693847656),(missing),(213.8417510986328),0.7516058683395386
2015-01-23 06:00:00 CST,0.9892008900642395,(293.94683837890625),(217.70603942871094),(247.4288330078125),(missing),(23.087308883666992),2.3860011100769043
2015-01-23 12:00:00 CST,0.9992009401321411,(270.761474609375),(218.78402709960938),(235.2916259765625),(missing),(202.27711486816406),1.0495951175689697
2015-01-23 18:00:00 CST,1.018000841140747,(271.3194885253906),(221.48760986328125),(236.70242309570312),(missing),(237.80194091796875),3.2708001136779785
2015-01-24 00:00:00 CST,1.001200795173645,(204.9596405029297),(224.1132354736328),(240.2904052734375),(missing),(303.3218078613281),1.6927989721298218
2015-01-24 06:00:00 CST,0.9744007587432861,(199.16680908203125),(226.5296173095703),(246.80642700195312),(missing),(213.15716552734375),2.341205358505249
2015-01-24 12:00:00 CST,0.9472008943557739,(261.839599609375),(229.27684020996094),(235.83921813964844),(missing),(172.27102661132812),1.9143980741500854
2015-01-24 18:00:00 CST,0.9332009553909302,(295.65118408203125),(231.37046813964844),(235.2956085205078),(missing),(242.88282775878906),3.0487890243530273
2015-01-25 00:00:00 CST,0.9148017168045044,(296.5408020019531),(235.674560546875),(236.71762084960938),(missing),(46.31207275390625),3.8196277618408203
2015-01-25 06:00:00 CST,0.915202260017395,(296.2108154296875),(241.3327178955078),(241.08401489257812),(missing),(48.026023864746094),5.055220603942871
